city,country_en,country_kr,iso3,themes,months,category_raw
London,United Kingdom,영국,GBR,역사문화|예술|쇼핑|휴양,Apr|May|Jun|Sep|Oct,"history, culture, museums, theatre, shopping, landmarks, nightlife, royalty"
Paris,France,프랑스,FRA,역사문화|예술|미식|쇼핑|휴양,Apr|May|Jun|Sep|Oct,"art, museums, landmarks, culture, history, food, romance, shopping, nightlife"
Rome,Italy,이탈리아,ITA,역사문화|예술|미식,Apr|May|Jun|Sep|Oct,"history, ancient ruins, culture, art, food, religion, landmarks"
Berlin,Germany,독일,DEU,역사문화|예술|휴양,May|Jun|Jul|Aug|Sep,"history, culture, nightlife, art, museums, music"
Madrid,Spain,스페인,ESP,역사문화|예술|미식|쇼핑|휴양,Apr|May|Jun|Sep|Oct,"art, museums, nightlife, food, culture, history, shopping"
Prague,Czech Republic,체코,CZE,역사문화|예술|미식|휴양,May|Jun|Sep,"history, architecture, culture, beer, nightlife, budget-friendly"
Amsterdam,Netherlands,네덜란드,NLD,역사문화|예술|자연|액티비티|휴양,Apr|May|Jun|Jul|Aug|Sep,"canals, culture, history, museums, cycling, nightlife"
Athens,Greece,그리스,GRC,역사문화|해변|미식,Apr|May|Jun|Sep|Oct,"history, ancient ruins, culture, mythology, food, islands (nearby)"
Lisbon,Portugal,포르투갈,PRT,역사문화|예술|자연|해변|미식|휴양,Apr|May|Jun|Sep|Oct,"history, culture, food, viewpoints, coastline, nightlife, Fado music"
Interlaken,Switzerland,스위스,CHE,자연|액티비티,Jan|Feb|Jun|Jul|Aug|Sep|Dec,"mountains, hiking, adventure sports, lakes, skiing (winter), nature"
Reykjavik,Iceland,아이슬란드,ISL,자연|액티비티|휴양,Feb|Mar|Jun|Jul|Aug|Sep|Oct,"nature, northern lights (winter), geothermal spas, glaciers, hiking, adventure"
Vienna,Austria,오스트리아,AUT,역사문화|예술|미식,Apr|May|Jun|Sep|Oct|Dec,"music, history, culture, palaces, coffee houses, art"
Dublin,Ireland,아일랜드,IRL,역사문화|예술|미식|휴양,May|Jun|Jul|Aug|Sep,"pubs, culture, history, literature, music, nightlife"
Copenhagen,Denmark,덴마크,DNK,역사문화|예술|자연|액티비티|미식|휴양,May|Jun|Jul|Aug,"design, food, cycling, culture, history, canals, hygge"
Stockholm,Sweden,스웨덴,SWE,역사문화|예술|자연|해변,Jun|Jul|Aug,"archipelago, history, design, museums, culture, canals"
Tokyo,Japan,일본,JPN,역사문화|예술|미식|쇼핑|휴양,Mar|Apr|May|Oct|Nov,"culture, food, technology, shopping, temples, shrines, nightlife, pop culture"
Kyoto,Japan,일본,JPN,역사문화|예술|자연,Mar|Apr|May|Oct|Nov,"culture, history, temples, shrines, gardens, geisha district, traditional arts"
Seoul,South Korea,,,역사문화|미식|쇼핑|휴양,Apr|May|Sep|Oct,"culture, food, K-pop, shopping, history, palaces, nightlife, technology"
Beijing,China,중국,CHN,역사문화|미식,Apr|May|Sep|Oct,"history, culture, landmarks (Great Wall nearby), palaces, temples, food"
Shanghai,China,중국,CHN,역사문화|예술|미식|쇼핑|휴양,Apr|May|Sep|Oct,"modern architecture, shopping, food, culture, nightlife, history (Bund)"
Hong Kong,China,중국,CHN,역사문화|액티비티|미식|쇼핑,Jan|Feb|Mar|Apr|Oct|Nov|Dec,"skyline, shopping, food, dim sum, hiking, finance, culture"
Bangkok,Thailand,태국,THA,역사문화|자연|미식|쇼핑|휴양,Jan|Feb|Nov|Dec,"culture, temples, food, street markets, nightlife, shopping, canals"
Chiang Mai,Thailand,태국,THA,역사문화|자연|액티비티,Jan|Feb|Nov|Dec,"culture, temples, mountains, hiking, elephants (ethical sanctuaries), crafts, Lanna culture"
Singapore,Singapore,싱가포르,SGP,역사문화|예술|자연|미식|쇼핑,Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct,"food, shopping, gardens, modern architecture, culture (mix), family-friendly"
Bali (Denpasar/Ubud),Indonesia,인도네시아,IDN,역사문화|자연|해변|휴양,May|Jun|Jul|Aug|Sep,"beach, surfing, culture, temples, yoga, wellness, nature, rice paddies, diving"
Hanoi,Vietnam,베트남,VNM,역사문화|예술|미식,Jan|Feb|Mar|Apr|Oct|Nov|Dec,"culture, history, food, French colonial architecture, street life, Halong Bay (nearby)"
Ho Chi Minh City,Vietnam,베트남,VNM,역사문화|예술|미식|휴양,Jan|Feb|Mar|Apr|Dec,"history (war museums), food, nightlife, French colonial architecture, Mekong Delta (nearby)"
Delhi,India,인도,IND,역사문화|예술|미식|쇼핑,Jan|Feb|Mar|Oct|Nov|Dec,"history, culture, monuments, food, shopping, temples, Mughal architecture"
Mumbai,India,인도,IND,역사문화|예술|해변|미식|휴양,Jan|Feb|Nov|Dec,"Bollywood, finance, food, culture, colonial architecture, nightlife, coastline"
Jaipur,India,인도,IND,역사문화|예술|쇼핑,Jan|Feb|Mar|Oct|Nov|Dec,"history, culture, palaces, forts, shopping (textiles, gems), architecture (Pink City)"
Dubai,United Arab Emirates,아랍에미리트,ARE,예술|자연|해변|액티비티|쇼핑|휴양,Jan|Feb|Mar|Nov|Dec,"luxury, shopping, modern architecture, desert safaris, beach, nightlife"
Istanbul,Turkey,튀르키예,TUR,역사문화|예술|미식|쇼핑,Apr|May|Jun|Sep|Oct,"history, culture, mosques, bazaars, food, architecture (East meets West)"
New York City,USA,미국,USA,역사문화|예술|미식|쇼핑|휴양,Apr|May|Jun|Sep|Oct|Nov|Dec,"landmarks, museums, theatre (Broadway), culture, food, shopping, nightlife, finance"
Los Angeles,USA,미국,USA,역사문화|예술|해변|액티비티|미식,Apr|May|Jun|Jul|Aug|Sep|Oct,"entertainment (Hollywood), beaches, theme parks, culture, food, hiking, museums"
San Francisco,USA,미국,USA,역사문화|미식,May|Jun|Jul|Aug|Sep|Oct,"landmarks (Golden Gate Bridge), culture, tech, food, history (Alcatraz), hills, diverse neighborhoods"
Chicago,USA,미국,USA,예술|자연|미식,Jun|Jul|Aug|Sep,"architecture, museums, food (deep dish pizza), music (blues, jazz), theatre, lakefront"
Miami,USA,미국,USA,역사문화|예술|해변|미식|휴양,Jan|Feb|Mar|Apr|Nov|Dec,"beaches, nightlife, Art Deco architecture, Latin culture, art, food"
New Orleans,USA,미국,USA,역사문화|예술|미식|휴양,Feb|Mar|Apr|May|Oct|Nov,"music (jazz), food (Creole/Cajun), culture, history (French Quarter), nightlife, festivals (Mardi Gras)"
Denver,USA,미국,USA,역사문화|자연|액티비티|미식,Jan|Feb|Mar|Jun|Jul|Aug|Sep|Dec,"mountains (nearby), hiking, skiing (nearby), craft beer, city culture, nature"
Vancouver,Canada,캐나다,CAN,역사문화|자연|액티비티|미식,Jun|Jul|Aug|Sep,"nature, mountains, ocean, city culture, food, hiking, skiing (nearby)"
Toronto,Canada,캐나다,CAN,역사문화|예술|해변|미식|휴양,Jun|Jul|Aug|Sep,"culture (multicultural), food, museums, theatre, nightlife, landmarks (CN Tower), islands"
Montreal,Canada,캐나다,CAN,역사문화|예술|미식|휴양,Jan|Feb|Jun|Jul|Aug|Sep|Oct,"culture (French/English), history, food, festivals, architecture, nightlife"
Mexico City,Mexico,멕시코,MEX,역사문화|예술|미식,Mar|Apr|May|Oct|Nov,"history (Aztec/colonial), culture, museums, food, art (Frida Kahlo), ruins (Teotihuacan nearby)"
Cancun,Mexico,멕시코,MEX,역사문화|해변|휴양,Jan|Feb|Mar|Apr|Dec,"beaches, nightlife, resorts, Mayan ruins (nearby), diving, snorkeling"
Rio de Janeiro,Brazil,브라질,BRA,예술|자연|해변|휴양,Jan|Feb|Mar|Apr|Sep|Oct|Nov|Dec,"beaches (Copacabana, Ipanema), landmarks (Christ the Redeemer, Sugarloaf), carnival, nightlife, music (samba), nature"
Buenos Aires,Argentina,아르헨티나,ARG,역사문화|예술|미식|휴양,Mar|Apr|May|Sep|Oct|Nov,"culture, tango, food (steak, wine), European architecture, nightlife, history"
Cusco,Peru,페루,PER,역사문화|액티비티,May|Jun|Jul|Aug|Sep,"history (Inca), culture, gateway to Machu Picchu, ruins, trekking, Andean culture"
Lima,Peru,페루,PER,역사문화|예술|해변|미식,Jan|Feb|Mar|Dec,"food (ceviche, gastronomy), history (colonial), museums, coastline, culture"
